id;titulo;preco;preco_original;desconto;parcelas;frete;full;categoria;link
MLB4278848861;Monitor Gamer Curvo Aoc Agon Quad 34 Ultrawide U34g4c Preto 127/220v;1851;2099;11% OFF;10x 185,17 sem juros;Chegará grátis quinta-feira;sim;MLB99245;https://www.mercadolivre.com.br/p/MLB61372872
MLB3764736973;Monitor Gamer Curvo Samsung Odyssey 34 G5 165 Hz 1ms Ultrawide Preto 127/220v;1798;2799;35% OFF;10x 179,89 sem juros;Chegará grátis quinta-feira;sim;MLB99245;https://www.mercadolivre.com.br/p/MLB37944478
MLB4772232659;Monitor Asus Tuf Gaming 27 Qhd 210hz Vg27aq5a Preto;1252;3670;65% OFF;12x 121,63;Frete grátis;nao;MLB99245;https://www.mercadolivre.com.br/up/MLBU4098517068
MLB7054265098;LG 29wq600b-w 29 Branco 127/220v;999;;;10x 99,90 sem juros;Frete grátis;nao;MLB99245;https://www.mercadolivre.com.br/p/MLB46338459
MLB4159249591;Monitor Curvo Samsung 27 Fhd Hdmi Vga Freesync Cf390 Preto 127/220v;979;;;12x 95,04;Frete grátis;nao;MLB99245;https://www.mercadolivre.com.br/p/MLB7568851
MLB5229015200;Monitor Aoc 23,8 Led Full-hd, 100hz, 1ms, Vesa - 24b30hm2 Preto 127/220v;532,68;668,90;20% OFF no Pix;10x 57,90 sem juros;Chegará grátis quinta-feira;sim;MLB99245;https://www.mercadolivre.com.br/p/MLB42303052
MLB5936786826;Monitor LG Ultrawide 34 100hz - 34wr50qk-b Preto 127/220v;1774;2471;28% OFF no Pix;10x 192,90 sem juros;Chegará grátis quinta-feira;sim;MLB99245;https://www.mercadolivre.com.br/p/MLB62061354
MLB5878797910;Monitor Acer Led Mk241y Flt, 23,8 Full Hd, Zero Frame, 100hz Preto 127/220v;463,20;789;41% OFF no Pix;12x 55,99;Frete grátis;nao;MLB99245;https://www.mercadolivre.com.br/p/MLB55627123
MLB4492110621;Monitor Samsung Viewfinity S5 34 Uwqhd Va Ls34c500galmzd 100hz Hdmi Dp Preto;1619;2399;32% OFF no Pix;10x 179,90 sem juros;Frete grátis;sim;MLB99245;https://www.mercadolivre.com.br/p/MLB58364282
MLB4320439805;Monitor LG Ultrafine 32 Uhd 60hz 4k 4ms Dp Hdmi - 32ur500k-b.awzm;1484;2175;31% OFF no Pix;10x 164,90 sem juros;Chegará grátis quinta-feira;sim;MLB99245;https://www.mercadolivre.com.br/p/MLB61844159
MLB5299585130;Monitor LG Ultragear 32gn600 - 32 2k Qhd 165hz, 1ms (mbr), Hdr10, Free Sync Preto;1262;2180;42% OFF no Pix;10x 132,90 sem juros;Chegará grátis quinta-feira;sim;MLB99245;https://www.mercadolivre.com.br/p/MLB24061510
MLB5887097242;Monitor Gamer Curvo Aoc Agon Quad 32 180hz 0,5ms Cq32g4e Preto 127/220v;1281;1998;35% OFF;12x 124,43;Chegará grátis quinta-feira;sim;MLB99245;https://www.mercadolivre.com.br/p/MLB59323651
MLB5950697368;Monitor Gamer Acer Nitro Kg243y P1bip 23,8 Full Hd 144hz 1ms Vrb Ips Preto;609;999;39% OFF;12x 58,89;Chegará grátis terça-feira;sim;MLB99245;https://www.mercadolivre.com.br/p/MLB52933802
MLB5631568752;Monitor Portátil 15,6 Tomate Mtm-1506 Full Hd Ips Ultra Slim Usb-c/hdmi Preto;388,66;720,49;46% OFF;12x 38,02;Frete grátis;nao;MLB99245;https://www.mercadolivre.com.br/p/MLB35870493
MLB6955987986;Monitor Gamer Pichau Cepheus S49 Neo, 49 Curvo, Dqhd, 1ms, 120hz;3499;6975;49% OFF;10x 350,00 sem juros;Frete grátis;nao;MLB99245;https://www.mercadolivre.com.br/up/MLBU4098229052
MLB5979662396;Arzopa Z3fc Monitor Portátil 16.1'' 2.5k 180hz Gamer - Cinza 127/220v;835;1397;40% OFF;12x 80,74;Chegará grátis terça-feira;sim;MLB99245;https://www.mercadolivre.com.br/p/MLB61396374
MLB6954940418;Monitor Gamer Gawfolk Curvo 34 Ultrawide Wqhd 240hz Freesync Alto-falantes Preto;2058;5020;59% OFF;10x 205,86 sem juros;Frete grátis;sim;MLB99245;https://www.mercadolivre.com.br/p/MLB69440329
MLB6954940310;Monitor Gamer Curvo Gawfolk 34 Uwqhd 165hz Alto-falante Dp Preto 127/220v;1399;2544;45% OFF;10x 139,97 sem juros;Frete grátis;sim;MLB99245;https://www.mercadolivre.com.br/p/MLB72656809
